,,,,,,,,,,,,,,,,,,,
,Core,Date Added,Stock,Setup,"Core 
Execution","Stock 
Execution",VAR,Entry Stop,Entry Limit,Sizing,Cut,-0.5R Cut Loss,Shares,Order Filled,Cancel Order,Picker,Return,7 day % change,
,TRUE,01/02/2024,YELP,Pullback,ODL,Tighten,"2,500.00",47.58,47.82,46.62,46.93,47.22,"2,610",FALSE,TRUE,Miggoy,,-3.11%, 
,FALSE,01/02/2024,MSFT,Coil,ODL,Tighten,"5,000.00",377.65,379.54,369.8,373.47,374.67,640,FALSE,TRUE,Neil,,1.33%, 
,FALSE,01/03/2024,SPOT,range,ODL,Tighten,"5,000.00",190.29,191.24,181.48,185.36,186.36,570,TRUE,FALSE,Paul,-0.25,4.71%,01/03/2024
,FALSE,01/03/2024,KEX,range,ODL,Tighten,"2,500.00",79.22,79.62,77.00,77.84,78.31,"1,130",FALSE,TRUE,Miggoy,,-4.38%, 
,TRUE,01/03/2024,SMCI,range,ODL,Tighten,"5,000.00",287.01,288.45,268.64,275.87,278.54,280,TRUE,FALSE,Jeremy,-0.25,22.02%,01/03/2024
,TRUE,01/04/2024,SHOT,Reset,LABAN,Probe,"2,500.00",3.52,3.54,2.70,2.70,3.12,"3,050",TRUE,FALSE,Miggoy,-0.25,1.39%,01/04/2024
,TRUE,01/04/2024,OPRA,Reset,ODL,,"5,000.00",13.65,13.72,11.50,12.42,12.61,"2,330",FALSE,TRUE,Miggoy,,-4.32%, 
,TRUE,01/04/2024,UBER,Range,ODL,Tighten,"5,000.00",58.91,59.20,50.00,57.32,54.60,570,TRUE,FALSE,Miggoy,-0.25,9.81%,01/04/2024
,TRUE,01/04/2024,YELP,Range,ODL,,"2,500.00",46.44,46.67,45.00,45.70,45.84,"1,740",TRUE,FALSE,Miggoy,-0.25,-5.11%,01/04/2024
,TRUE,01/05/2024,QCOM,Range,ODL,Tighten,"5,000.00",137.34,138.03,133.34,134.93,135.68,"1,250",TRUE,FALSE,Neil,-0.25,2.54%,01/05/2024
,TRUE,01/05/2024,PLTR,RANGE,ODL,Je,"5,000.00",16.59,16.67,15.24,15.94,15.96,"3,710",FALSE,TRUE,Jeremy,,4.88%, 
,FALSE,01/05/2024,TWST,Range,ODL,Tighten,"5,000.00",33.90,34.07,31.32,32.26,32.69,"1,940",TRUE,FALSE,Neil,1.00,6.30%,01/05/2024
,TRUE,01/08/2024,GTLB,Range,ODL,,"5,000.00",58.47,58.76,54.99,56.39,56.88,"1,440",FALSE,TRUE,Neil,,5.16%, 
,FALSE,01/08/2024,PATH,Range,ODL,,"5,000.00",22.91,23.02,21.79,22.25,22.41,"4,470",TRUE,FALSE,Neil,-0.25,-4.37%,01/08/2024
,TRUE,01/08/2024,IOT,Range,ODL,Je,"5,000.00",30.94,31.09,28.21,29.79,29.65,"1,840",TRUE,FALSE,Miggoy,-0.25,4.34%,01/08/2024
,TRUE,01/08/2024,PLTR,Range,ODL,Je,"5,000.00",16.14,16.22,15.25,15.65,15.74,"5,620",TRUE,FALSE,Miggoy,-0.25,-0.84%,01/08/2024
,FALSE,01/08/2024,ABNB,Range,ODL,,"5,000.00",137.05,137.74,131.70,133.89,134.72,940,TRUE,FALSE,Neil,0.00,-3.61%,01/08/2024
,FALSE,01/08/2024,ADBE,Range,LABAN,,"2,500.00",569.35,572.20,555.00,555.00,563.60,180,TRUE,FALSE,Paul,0.00,2.95%,01/08/2024
,TRUE,01/09/2024,YELP,Range,ODL,Tighten,"3,750.00",46.08,46.31,43.48,44.95,44.90,"1,450",FALSE,TRUE,Neil,,-2.31%, 
,TRUE,01/09/2024,AMAT,Range,ODL,je,"7,500.00",152.80,153.56,146.88,149.71,150.22,"1,270",FALSE,TRUE,Jeremy,,1.81%, 
,FALSE,01/09/2024,MSFT,Coil,ODL,,"7,500.00",377.17,379.06,364.86,369.00,371.96,610,FALSE,TRUE,Neil,,3.85%, 
,FALSE,01/09/2024,DIS,Coil,ODL,,"7,500.00",91.95,92.41,89.15,90.35,90.78,"2,680",FALSE,TRUE,Neil,,3.77%, 
,TRUE,01/09/2024,UBER,Range,ODL,Tighten,"7,500.00",59.17,59.47,56.47,57.84,57.97,"2,780",TRUE,FALSE,Neil,1.50,5.56%,01/09/2024
,FALSE,01/09/2024,TSLA,Range,ODL,Tighten,"7,500.00",242.12,243.33,230.00,235.29,236.67,620,FALSE,TRUE,Jeremy,,-6.41%, 
,FALSE,01/09/2024,CELH,COIL,ODL,,"7,500.00",59.69,59.99,49.45,54.02,54.72,740,TRUE,FALSE,Miggoy,-0.25,3.25%,01/09/2024
,FALSE,01/10/2024,DOCU,Range,ODL,Tighten,"7,500.00",56.63,56.91,53.30,54.43,55.11,"2,260",FALSE,TRUE,Neil,,9.87%, 
,TRUE,01/10/2024,DUOL,Range,ODL,Tighten,"3,750.00",215.17,216.25,198.00,203.98,207.12,220,TRUE,FALSE,Neil,-0.25,-6.56%,01/10/2024
,FALSE,01/12/2024,AFRM,Range,LABAN,,"3,750.00",43.88,44.10,41.15,41.15,42.62,"1,380",TRUE,FALSE,Neil,-0.50,0.93%,01/12/2024
,TRUE,01/12/2024,CRSP,Reset,ODL,,"7,500.00",65.87,66.20,55.99,59.99,61.09,760,TRUE,FALSE,Neil,-0.25,-3.52%,01/12/2024
,TRUE,01/12/2024,PLTR,coil,ODL,,"5,000.00",17.10,17.19,15.65,16.16,16.42,"3,450",FALSE,TRUE,Miggoy,,0.12%, 
,FALSE,01/12/2024,STNE,Range,ODL,,"7,500.00",17.29,17.38,16.14,16.62,16.76,"6,530",FALSE,TRUE,Neil,,-0.47%, 
,TRUE,01/15/2024,NXT,Range,ODL,,"7,500.00",42.54,42.75,40.10,41.46,41.43,"3,080",FALSE,TRUE,Miggoy,,10.25%, 
,FALSE,01/15/2024,MJ,Reversal,LABAN,Safety stop,"7,500.00",3.60,3.62,2.99,3.26,3.30,"12,300",TRUE,FALSE,Miggoy,-0.25,-1.96%,01/15/2024
,FALSE,01/15/2024,DIS,COIL,ODL,,"7,500.00",91.50,91.96,88.68,89.64,90.32,"2,660",TRUE,FALSE,Jeremy,0.00,2.18%,01/15/2024
,TRUE,01/15/2024,AMAT,Range,ODL,Tighten,"7,500.00",152.41,153.17,148.04,150.36,150.61,"1,720",TRUE,FALSE,Paul,-0.25,9.46%,01/15/2024
,FALSE,01/15/2024,ITA,Range,ODL,Tighten,"3,750.00",122.77,123.38,120.52,121.67,121.95,"1,670",FALSE,TRUE,Miggoy,,2.41%, 
,TRUE,01/17/2024,ADBE,falling coil,ODL,,"7,500.00",599.39,602.39,563.33,586.51,582.86,210,TRUE,FALSE,Miggoy,1.00,1.74%,01/17/2024
,TRUE,01/17/2024,CVS,range,ODL,,"7,500.00",77.96,78.35,75.04,76.13,76.69,"2,570",FALSE,TRUE,Neil,,-3.64%, 
,FALSE,01/17/2024,DKNG,Coil,ODL,,"7,500.00",34.27,34.44,30.65,32.55,32.55,"2,080",FALSE,TRUE,Neil,,9.67%, 
,FALSE,01/17/2024,AMKR,range,ODL,,"3,750.00",31.02,31.18,29.38,29.69,30.28,"2,290",FALSE,TRUE,Neil,,8.59%, 
,FALSE,01/17/2024,PLAB,range,ODL,,"3,750.00",30.04,30.19,28.30,28.66,29.25,"2,160",FALSE,TRUE,Neil,,9.27%, 
,FALSE,01/18/2024,PSTG,Reset,ODL,,"7,500.00",37.75,37.94,34.31,35.34,36.12,"2,190",TRUE,FALSE,Neil,1.00,6.04%,01/18/2024
,FALSE,01/18/2024,AMAT,Range,ODL,,"7,500.00",154.25,155.02,148.04,150.19,151.53,"1,210",FALSE,TRUE,Paul,,7.66%, 
,FALSE,01/18/2024,ABNB,Range,ODL,,"7,500.00",135.10,135.78,129.08,131.09,132.43,"1,250",FALSE,TRUE,Neil,,3.70%, 
,FALSE,01/18/2024,ARM,Range,ODL,Tighten,"7,500.00",70.01,70.36,65.10,66.65,67.73,"1,530",FALSE,TRUE,Neil,,-0.43%, 
,FALSE,01/18/2024,CVS,Range,ODL,resize,"7,500.00",77.65,78.04,75.74,76.71,76.89,"3,930",FALSE,TRUE,Neil,,-2.56%, 
,FALSE,01/19/2024,PLTR,COIL,ODL,,"7,500.00",16.86,16.94,15.65,16.09,16.30,"6,200",FALSE,TRUE,Jeremy,,-2.56%, 
,TRUE,01/19/2024,YELP,RANGE,ODL,,"3,750.00",44.44,44.66,43.03,43.63,43.85,"2,660",FALSE,TRUE,Neil,,2.27%, 
,FALSE,01/19/2024,INTC,RANGE,ODL,,"7,500.00",47.58,47.82,45.23,46.16,46.52,"3,200",TRUE,FALSE,Jeremy,0.00,-9.35%,01/19/2024
,TRUE,01/19/2024,RMBS,Flat Coil,ODL,,"7,500.00",71.30,71.66,65.23,67.43,68.44,"1,240",TRUE,FALSE,Miggoy,0.50,-2.65%,01/19/2024
,FALSE,01/19/2024,DIS,Coil,ODL,,"3,750.00",93.10,93.57,88.68,91.01,91.12,850,TRUE,FALSE,Monette,0.50,2.47%,01/19/2024
,FALSE,01/19/2024,NVDA,Options,LABAN,Sell Puts,"1,000.00",525.00,527.63,505.00,505.00,516.31,50,FALSE,TRUE,Miggoy,,2.59%, 
,FALSE,01/19/2024,AAPL,Options,LABAN,Sell Puts,"1,000.00",180.00,180.90,178.00,178.00,179.45,500,TRUE,FALSE,Miggoy,0.50,0.45%,01/19/2024
,TRUE,01/22/2024,TTWO,Flat Coil,ODL,,"7,500.00",164.86,165.68,156.66,159.78,161.17,920,TRUE,FALSE,Miggoy,0.00,2.18%,01/22/2024
,FALSE,01/22/2024,AFRM,Range,ODL,,"7,500.00",42.47,42.68,38.28,39.45,40.48,"1,790",FALSE,TRUE,Neil,-0.50,-1.31%,01/22/2024
