31.5,,,,,,,,,,,,,,,,,,,,,,
,Core,Date Added,Stock,Setup,"Core 
Execution","Stock 
Execution",VAR,Entry Stop,Entry Limit,Sizing,Cut,-0.5R Cut Loss,Shares,Order Filled,Cancel Order,Picker,Return,7 day % change,Date,1R,2R,
,FALSE,01/02/2025,PDYN,Momentum,ADJUST,,"5,000.00",12.93,12.99,10.29,10.77,11.64,"1,900",FALSE,TRUE,Ange,,-38.01%, ,15.70,18.40,
,FALSE,01/02/2025,LUNR,Momentum,ADJUST,,"5,000.00",140.28,140.98,128,134.49,134.49,410,TRUE,FALSE,Ange,0.50,-7.51%,01/02/2025,153.96,166.94,
,FALSE,01/03/2025,NVDA,Coil,HOLD,,"10,000.00",52.8,53.06,50,51.00,51.53,"3,580",TRUE,FALSE,Paul,0.50,-5.93%,01/03/2025,56.13,59.19,
,FALSE,01/03/2025,PDYN,Momentum,ADJUST,,"5,000.00",12.61,12.67,8.79,10.73,10.73,"1,310",FALSE,TRUE,Ange,,-29.29%, ,16.56,20.44,
,FALSE,01/03/2025,QUBT,Momentum,ADJUST,,"5,000.00",19.47,19.57,14.3,16.93,16.93,970,FALSE,TRUE,Ange,,-48.69%, ,24.83,30.10,
,FALSE,01/03/2025,CCJ,Range,HOLD,,"5,000.00",604.92,607.94,580,587.81,593.97,210,TRUE,FALSE,Jeremy,-0.25,-7.30%,01/03/2025,635.89,663.83,
,FALSE,01/03/2025,META,Range,ADJUST,,"5,000.00",160.34,161.14,152.22,156.68,156.68,620,TRUE,FALSE,Paul,-0.25,1.86%,01/03/2025,170.06,178.99,
,FALSE,01/06/2025,GOOGL,Bluesky,HOLD,,"10,000.00",426.08,428.21,414.85,419.53,421.53,900,TRUE,FALSE,Neil,-0.25,-2.98%,01/06/2025,441.57,454.93,
,FALSE,01/06/2025,MSFT,Range,HOLD,ema or 2DH,"5,000.00",193.22,194.19,185.2,188.30,189.69,630,FALSE,TRUE,Jeremy,,-2.49%, ,203.17,212.16,
,FALSE,01/06/2025,CRDO,Coil,HOLD,,"10,000.00",74.25,74.62,65.53,69.38,70.08,"1,150",FALSE,TRUE,Paul,,-9.92%, ,83.71,92.80,
,FALSE,01/06/2025,APP,Bluesky,HOLD,,"10,000.00",164,164.82,146.97,153.73,155.90,590,TRUE,FALSE,Neil,-0.50,-11.06%,01/06/2025,182.67,200.52,
,FALSE,01/06/2025,ANF,Reset,HOLD,,"10,000.00",21,21.11,19,20.04,20.05,"5,000",FALSE,TRUE,Neil,,-13.12%, ,23.21,25.32,
,FALSE,01/06/2025,ASAN,Range,HOLD,,"5,000.00",360.47,362.27,308.13,336.71,335.20,100,TRUE,FALSE,Neil,-0.50,-13.62%,01/06/2025,416.41,470.56,
,FALSE,01/07/2025,AAPL,Range,HOLD,,"5,000.00",247.34,248.58,241.1,244.84,244.84,810,FALSE,TRUE,Jeremy,,-3.69%, ,256.05,263.53,
,FALSE,01/10/2025,AAPL,Range,HOLD,,"5,000.00",245.56,246.79,237.49,242.13,242.14,620,FALSE,TRUE,Jeremy,,-2.90%, ,256.09,265.38,
,FALSE,01/10/2025,WIX,Coil,HOLD,,"5,000.00",230,231.15,216.7,223.92,223.93,380,TRUE,FALSE,Paul,1.00,10.19%,01/10/2025,245.60,260.05,
,FALSE,01/10/2025,MSFT,Range,HOLD,,"5,000.00",426.98,429.11,414.85,421.97,421.98,420,FALSE,TRUE,Jeremy,,2.41%, ,443.38,457.64,
,FALSE,01/10/2025,PSTG,Coil,HOLD,,"10,000.00",65.96,66.29,62.35,64.31,64.32,"2,780",TRUE,FALSE,Paul,0.00,2.43%,01/10/2025,70.23,74.17,
