tmpaul,,,,,,,,,,,,,,,,,,,,,,
,Core,Date Added,Stock,Setup,"Core 
Execution","Stock 
Execution",VAR,Entry Stop,Entry Limit,Sizing,Cut,-0.5R Cut Loss,Shares,Order Filled,Cancel Order,Picker,Return,7 day % change,Date,1R,2R,Possible to add shares? 
,TRUE,01/05/2026,NXT,Coil,HOLD,,"12,000",95.50,95.98,83.06,89.52,89.52,970,FALSE,TRUE,Neil,,10.58%, ,108.90,121.81,
,FALSE,01/05/2026,ALAB,Reset,HOLD,Swing,"12,000",182.54,183.45,143.7,163.58,163.58,310,FALSE,TRUE,Neil,,3.27%, ,223.21,262.96,
,TRUE,01/05/2026,URA,Coil,HOLD,,"12,000",47.3,47.54,39.95,43.74,43.74,"1,640",TRUE,FALSE,Neil,1.00,6.44%,01/05/2026,55.12,62.71,1/15/2026
,FALSE,01/05/2026,RDDT,Reset,HOLD,Swing,"12,000",246.15,247.38,207.29,227.34,227.34,310,FALSE,TRUE,Neil,,-0.01%, ,287.47,327.56,
,FALSE,01/05/2026,BTU,Coil,HOLD,Swing,"12,000",,,,,,,FALSE,TRUE,Ange,,11.53%, ,0.00,0.00,
,TRUE,01/06/2026,BABA,Reset,HOLD,,"12,000",159,159.80,145.6,152.70,152.70,900,FALSE,TRUE,Neil,,10.68%, ,173.99,188.19,
,FALSE,01/06/2026,AMZN,Reset,HOLD,,"12,000",235.46,236.64,215,225.82,225.82,590,TRUE,FALSE,Neil,0.00,0.69%,01/06/2026,258.27,279.91,
,TRUE,01/06/2026,BZ,Reset,HOLD,,"12,000",21.7,21.81,19.52,20.66,20.66,"5,510",FALSE,TRUE,Neil,,-4.16%, ,24.10,26.39,
,TRUE,01/06/2026,VNM,Reset,HOLD,,"6,000",,,,,,,FALSE,TRUE,Miggoy,,1.90%, ,0.00,0.00,
,FALSE,01/06/2026,EAT,Reversal,HOLD,,"12,000",155.2,155.98,134.25,145.11,145.11,580,TRUE,FALSE,Neil,0.50,6.62%,01/06/2026,177.70,199.43,1/12/2026
,FALSE,01/06/2026,ETHA,Reset,HOLD,,"12,000",,,,,,,FALSE,TRUE,Miggoy,,-1.14%, ,0.00,0.00,
,FALSE,01/07/2026,XLK,Coil,HOLD,,"12,000",147,147.74,140.21,143.97,143.97,"1,770",TRUE,FALSE,Jeremy,-0.25,-1.25%,01/07/2026,155.26,162.79,
,FALSE,01/07/2026,IONQ,Coil,HOLD,,"12,000",55.67,55.95,43.8,49.87,49.87,"1,020",FALSE,TRUE,Neil,,2.21%, ,68.10,80.25,
,FALSE,01/07/2026,HOOD,Reset,HOLD,,"12,000",125.65,126.28,105.24,115.76,115.76,590,FALSE,TRUE,Miggoy,,2.31%, ,147.32,168.35,
,FALSE,01/07/2026,NXT,Coil,HOLD,,"12,000",,,,,,,FALSE,TRUE,Neil,,6.64%, ,0.00,0.00,
,FALSE,01/08/2026,PGNY,Reversal,HOLD,,"12,000",27.8,27.94,23.8,25.87,25.87,"3,000",TRUE,FALSE,Neil,-0.25,-11.37%,01/08/2026,32.08,36.22,
,FALSE,01/08/2026,CWK,Reset,HOLD,,"12,000",,,,,,,FALSE,TRUE,Neil,,3.64%, ,0.00,0.00,
,FALSE,01/09/2026,IONQ,Reset,HOLD,,"12,000",52.62,52.88,43.8,48.34,48.34,"1,370",TRUE,FALSE,Jeremy,-0.50,2.73%,01/09/2026,61.97,71.05,
,FALSE,01/09/2026,BABA,Coil,HOLD,,"12,000",,,,,,,FALSE,TRUE,Jeremy,,9.57%, ,0.00,0.00,
,FALSE,01/09/2026,PLUG,Reset,HOLD,Swing,"12,000",,,,,,,FALSE,TRUE,Paul,,7.76%, ,0.00,0.00,
,FALSE,01/09/2026,IREN,Reset,HOLD,swing,"12,000",,,,,,,FALSE,TRUE,Paul,,25.61%, ,0.00,0.00,
,FALSE,01/09/2026,RGTI,Reset,HOLD,,"12,000",,,,,,,FALSE,TRUE,Jeremy,,3.64%, ,0.00,0.00,
,FALSE,01/12/2026,MP,Reset,HOLD,,"12,000",65.56,65.89,49.76,57.82,57.82,760,TRUE,FALSE,Paul,-0.25,4.65%,01/12/2026,82.02,98.14,
,TRUE,01/12/2026,BABA,Reset,HOLD,,"12,000",158,158.79,136.3,147.55,147.55,560,TRUE,FALSE,Neil,0.50,-2.36%,01/12/2026,181.28,203.77,1/27/2026
,FALSE,01/12/2026,JOBY,Reset,HOLD,,"12,000",16.6,16.68,13,14.84,14.84,"3,340",FALSE,TRUE,Neil,,-4.48%, ,20.37,24.05,
,FALSE,01/12/2026,BLDP,Reset,HOLD,,"12,000",,,,,,,FALSE,TRUE,Jeremy,,-5.38%, ,0.00,0.00,
,FALSE,01/12/2026,KWEB,Reset,HOLD,,"12,000",,,,,,,FALSE,TRUE,Ange,,-7.14%, ,0.00,0.00,
,FALSE,01/12/2026,APH,Reset,HOLD,,"12,000",,,,,,,FALSE,TRUE,Neil,,4.98%, ,0.00,0.00,
,FALSE,01/12/2026,CVS,Reset,HOLD,,"12,000",,,,,,,FALSE,TRUE,Miggoy,,-0.34%, ,0.00,0.00,
,FALSE,01/12/2026,SSRM,Reset,HOLD,,"12,000",,,,,,,FALSE,TRUE,Neil,,6.73%, ,0.00,0.00,
,FALSE,01/14/2026,ETHA,Reversal,HOLD,,"12,000",26.09,26.22,20.97,23.60,23.60,"2,350",FALSE,TRUE,Miggoy,,-10.59%, ,31.47,36.72,
,FALSE,01/14/2026,VRT,Reset,HOLD,,"12,000",183.25,184.17,155.27,169.72,169.72,430,FALSE,TRUE,Neil,,6.21%, ,213.06,241.96,
,FALSE,01/15/2026,AMD,Reset,HOLD,,"12,000",234.02,235.19,199.8,217.50,217.50,360,TRUE,FALSE,Miggoy,1.50,11.32%,01/15/2026,270.58,305.97,1/28/2026
,FALSE,01/15/2026,HOOD,Reset,HOLD,,"12,000",124.35,124.97,110.41,117.69,117.69,870,FALSE,TRUE,Miggoy,,-3.72%, ,139.53,154.10,
,FALSE,01/16/2026,CLS,Reset,HOLD,,"12,000",333.79,335.46,272.67,304.06,304.06,200,FALSE,TRUE,Neil,,-3.35%, ,398.25,461.04,
,FALSE,01/21/2026,ALAB,Reset,HOLD,,"12,000",193.22,194.19,140.61,167.40,167.40,230,FALSE,TRUE,Neil,,-4.61%, ,247.76,301.34,
,FALSE,01/22/2026,VRT,Reset,HOLD,,"12,000",183.26,184.18,158.77,171.47,171.47,490,FALSE,TRUE,Neil,,7.72%, ,209.58,234.99,
,FALSE,01/22/2026,OKE,Reversal,HOLD,,"12,000",76.86,77.24,70.41,73.83,73.83,"1,870",TRUE,FALSE,Paul,-0.25,0.00%,01/22/2026,84.08,90.91,1/28/2026
,FALSE,01/23/2026,YPF,Reversal,HOLD,,"12,000",36.75,36.93,32.77,34.85,34.85,"3,020",TRUE,FALSE,Neil,0.50,9.25%,01/23/2026,41.10,45.26,
,FALSE,01/23/2026,LAC,Reset,HOLD,,"6,000",6.23,6.26,5.3,5.30,5.78,"6,460",FALSE,TRUE,Neil,,-24.38%, ,7.22,8.18,
,TRUE,01/28/2026,XOP,Reset,HOLD,,"12,000",139.5,140.20,129.1,134.65,134.65,"1,160",FALSE,TRUE,Neil,,4.89%, ,151.30,162.39,
,FALSE,01/28/2026,CIFR,Reset,HOLD,,"12,000",19.71,19.81,15.53,17.67,17.67,"2,880",FALSE,TRUE,Neil,,-24.88%, ,24.09,28.37,
,FALSE,02/02/2026,PUMP,reset,HOLD,,"12,000",11.88,11.94,9.87,10.90,10.90,"5,980",TRUE,FALSE,Paul,-0.25,-2.28%,02/02/2026,14.01,16.08,
,FALSE,02/05/2026,LLY,Coil,HOLD,,"12,000",1133.95,"1,139.62",993.58,1066.60,"1,066.60",90,FALSE,TRUE,Neil,,1.71%, ,"1,285.66","1,431.70",
,TRUE,02/09/2026,XRT,Reset,HOLD,Position,"12,000",,,,,,,FALSE,TRUE,Miggoy,,-1.84%, ,0.00,0.00,
,TRUE,02/10/2026,CLS,Reset,HOLD,Position,"12,000",334.32,335.99,266.5,301.25,301.25,180,FALSE,TRUE,Neil,,-3.78%, ,405.48,474.97,
,FALSE,02/11/2026,RUN,Reset,HOLD,Swing,"12,000",21.95,22.06,16.49,19.27,19.27,"2,200",FALSE,TRUE,Neil,,5.11%, ,27.63,33.20,
,FALSE,02/11/2026,AA,falling coil,HOLD,Swing,"12,000",63.55,63.87,55.3,59.58,59.58,"1,460",TRUE,FALSE,Miggoy,-0.50,-4.66%,02/11/2026,72.44,81.00,
,FALSE,02/17/2026,XLV,Coil,HOLD,,"12,000",159.23,160.03,149.87,154.95,154.95,"1,290",FALSE,TRUE,Neil,,0.32%, ,170.18,180.34,
,TRUE,02/17/2026,VNM,Reset,HOLD,19.10 break,"6,000",19.1,19.20,17.4,18.30,18.30,"3,530",FALSE,TRUE,Miggoy,,2.78%, ,20.99,22.79,
,FALSE,02/18/2026,VSCO,Coil,HOLD,,"12,000",62.91,63.22,53.27,58.25,58.25,"1,250",TRUE,FALSE,Ange,-0.50,-0.27%,02/18/2026,73.18,83.13,
,FALSE,02/18/2026,NXT,Coil,HOLD,,"12,000",124.78,125.40,103,114.20,114.20,560,TRUE,FALSE,Miggoy,-0.50,-6.41%,02/18/2026,147.81,170.21,
,TRUE,02/19/2026,XP,Reset Cheat,HOLD,Position,"12,000",20.8,20.90,18,19.45,19.45,"4,290",TRUE,FALSE,Neil,0.50,1.68%,02/19/2026,23.81,26.71,
,FALSE,02/19/2026,AA,Coil,HOLD,,"12,000",64.78,65.10,55.04,0.00,60.07,"1,240",FALSE,TRUE,Ange,,6.33%, ,75.17,85.23,
,FALSE,02/20/2026,CCJ,Falling Coil,HOLD,,"12,000",121.76,122.37,107.92,115.14,115.14,870,TRUE,FALSE,Miggoy,-0.50,-2.43%,02/20/2026,136.82,151.27,
,FALSE,02/20/2026,AA,Falling Coil,HOLD,,"12,000",61.14,61.45,49.69,55.57,55.57,"1,050",FALSE,TRUE,Neil,,2.63%, ,73.20,84.96,
,TRUE,02/20/2026,VNM,Reset,HOLD,,"6,000",,,,,,,FALSE,TRUE,Miggoy,,-1.09%, ,0.00,0.00,
,TRUE,02/23/2026,GLD,Coil,HOLD,Position,"12,000",475,477.38,422.55,449.96,449.96,230,TRUE,FALSE,Miggoy,-0.25,1.81%,02/23/2026,532.20,587.03,
,TRUE,02/23/2026,COPX,Falling Coil,HOLD,Swing,"12,000",91.58,92.04,80,86.02,86.02,"1,040",TRUE,FALSE,Neil,-0.50,3.03%,02/23/2026,104.08,116.11,
,FALSE,02/23/2026,EWH,Blue Sky,HOLD,Swing,"12,000",23.86,23.98,22.81,23.39,23.39,"11,430",TRUE,FALSE,Miggoy,-0.25,0.67%,02/23/2026,25.15,26.32,
,FALSE,02/24/2026,XLV,Coil,HOLD,,"12,000",159.24,160.04,153.23,156.63,156.63,"2,000",FALSE,TRUE,Paul,,-0.72%, ,166.84,173.65,
,TRUE,02/25/2026,XME,Falling Coil,HOLD,,"12,000",121,121.61,107.23,114.42,114.42,880,TRUE,FALSE,Neil,-0.50,-1.53%,02/25/2026,135.98,150.36,
,TRUE,02/25/2026,SBSW,Falling Coil,HOLD,,"12,000",16.6,16.68,14.18,15.43,15.43,"4,960",FALSE,TRUE,Neil,,-9.96%, ,19.19,21.69,
