time,open,high,low,close
1611844200,46.04,47.69,43.86,44.67
1611930600,41.69,44.39,32.47,33.89
1612189800,38.22,46.32,35.14,45.04
1612276200,49.66,55.33,48.5,54.03
1612362600,55.13,57.95,51.64,57.52
1612449000,60.09,69.24,60.09,69.23
1612535400,75.65,75.65,70.46,75.18
1612794600,80.54,84.55,80.54,84.55
1612881000,83.95,85.03,81.6,84.18
1612967400,86.19,86.72,81.53,82.92
1613053800,85.12,85.29,76.92,80.24
1613140200,78.41,81.35,78.41,80.94
1613485800,83.37,83.37,79.24,79.24
1613572200,74.64,76.16,70.94,74.93
1613658600,70.91,71.3,65.58,66.92
1613745000,69.84,74.84,69.51,72.22
1614004200,68.31,71.85,66.97,67.01
1614090600,54.62,60.62,53.69,58.9
1614177000,59.69,66.77,59.69,65.82
1614263400,64.07,64.39,50.46,50.46
1614349800,49.88,50.6,40.91,44.58
1614609000,52.45,57.8,52.45,56.58
1614695400,55.15,55.15,50.55,50.56
1614781800,51.09,52.34,47.71,48.14
1614868200,47.27,47.27,33.12,37.79
1614954600,41.89,46.09,32.58,45.58
1615213800,46.2,51.6,46.2,48.24
1615300200,51.27,55,51.27,52.95
1615386600,58.38,58.95,56.88,58.11
1615473000,61.95,67.25,61,67.16
1615559400,64.81,69.74,64.81,69.63
1615815000,70.61,74.16,70.12,74.07
1615901400,76.69,76.69,65.72,68
1615987800,62.25,73.96,62.25,72.74
1616074200,70.17,72.64,58.96,59.3
1616160600,58.81,66.05,55.58,62.39
1616419800,63.51,63.51,56.03,56.23
1616506200,50.51,50.51,31.45,33.07
1616592600,40.85,44.17,25.69,25.73
1616679000,21.18,35.55,19.03,34.38
1616765400,40.71,44.9,35.81,44.86
1617024600,42.95,44.47,31.76,32.23
1617111000,32.77,39.58,31.18,37.68
1617197400,41.99,45.2,37.96,39.79
1617283800,45.67,50.96,44.47,50.96
1617629400,58.63,58.63,50.79,54.06
1617715800,56.16,58.53,53.92,54.06
1617802200,54.76,54.76,43.95,45.39
1617888600,48.59,50.7,41.41,50.6
1617975000,51.8,51.8,47.87,50.96
1618234200,53.09,53.09,48.28,51.03
1618320600,51.52,51.52,45.26,48.36
1618407000,53.94,61.08,53.94,54.2
1618493400,61.36,61.36,54.75,58.41
1618579800,63.34,63.34,56.82,59.9
1618839000,58.71,60.09,50.74,53.73
1618925400,52.24,52.24,37.53,40.91
1619011800,40.98,52.97,40.98,52.87
1619098200,53.97,57.97,47.17,48.67
1619184600,52.57,61.68,52.57,58.89
1619443800,65.93,67.76,64.91,65.75
1619530200,69.55,69.55,62.51,64.01
1619616600,63.79,66.56,63.35,65.25
1619703000,70.86,70.86,58.75,62.93
1619789400,59.29,61.19,53.42,53.51
1620048600,61,62.1,57.62,60.56
1620135000,54.76,54.76,47.31,51.18
1620221400,52.17,52.38,47.12,49.96
1620307800,48.4,50.97,44.41,50.91
1620394200,50.68,57.84,50.68,57.17
1620653400,57.11,57.11,48.49,48.49
1620739800,38.86,44.76,38.09,43.5
1620826200,41.74,41.74,28.42,28.45
1620912600,30.91,39.65,30.91,37.78
1620999000,41.92,51.02,41.92,50.63
1621258200,47.17,51.43,46.02,51.42
1621344600,50.27,54.89,48.15,48.22
1621431000,33.95,42.27,31.05,42.27
1621517400,41.88,49.21,39.42,48.58
1621603800,54.59,57.81,50.86,52.53
1621863000,54.82,59.05,54.6,55.7
1621949400,59.05,61.79,44,44
1622035800,48.6,57.69,48.45,57.41
1622122200,64.84,66.75,64.37,65.04
1622208600,68.02,68.02,64.35,66.3
1622554200,73.52,74.59,70.89,73.52
1622640600,74.06,74.06,68.39,70.38
1622727000,64.96,67.03,61.4,66.44
1622813400,70.21,70.21,65.81,68.48
1623072600,71.13,72.06,69.76,71.45
1623159000,72.55,76.07,70.01,74.46
1623245400,75.25,75.25,69.58,69.62
1623331800,71.74,72.09,66.14,66.97
1623418200,68.86,69.57,66.43,68.56
1623677400,69.49,69.49,62.68,63.11
1623763800,63.98,63.98,56.47,60.82
1623850200,58.01,59.79,52.53,55.91
1623936600,54.65,54.65,42.59,46.43
1624023000,37.97,37.97,32.08,33.83
1624282200,33.64,41.3,33.64,41.04
1624368600,37.38,40.46,33.96,40.08
1624455000,40.75,44.06,40.75,42.04
1624541400,44.77,49.63,43.78,49.63
1624627800,50.43,54.45,50.43,51.11
