trade_id,symbol,market,primary_strategy,secondary_strategy,custom_strategy,trade_type,total_return,return_pct,buy_qty,buy_avg_price,sell_qty,sell_avg_price,first_buy_date,last_buy_date,first_sell_date,last_sell_date,num_buy_legs,num_sell_legs,holding_days,scaled_in,scaled_out,is_winner,direction,direction_confidence,review_text,source_file,report_date_range,entry_regime,exit_regime,regime_changed,entry_score_c,entry_c_gte5,exit_score_c,c_crossed_5_during
G001326,LMT,IB,Reversal,,position,Trade A,-130.7,-0.01,90,455.22,90,453.8,01/02/2024,01/02/2024,01/05/2024,01/05/2024,1,2,3,FALSE,FALSE,FALSE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Unknown,Red,TRUE,8,TRUE,3,TRUE
G001327,SMCI,IB,Range,50-day,"ODL,TODL,daily,5k,tighten,MMTW 67-100,MMTH 34-66,RSI Stochs < 20",Trade B,-3079.07,-0.13,280,287.27,280,276.29,01/03/2024,01/03/2024,01/04/2024,01/04/2024,1,1,1,FALSE,FALSE,FALSE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Yellow,Yellow,FALSE,8,TRUE,3,TRUE
G001328,UBER,IB,Range,,"ODL,daily,5k,tighten,MMTW 67-100,MMTH 34-66,RSI Stochs < 20",Trade B,-435.67,-0.02,570,58.92,570,58.16,01/04/2024,01/04/2024,01/04/2024,01/04/2024,1,1,0,FALSE,FALSE,FALSE,long,low,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Yellow,Yellow,FALSE,3,FALSE,3,FALSE
G001329,YELP,IB,Pullback,Falling-Pennant,"ODL,TODL,daily,2.5k,tighten,MMTW 67-100,MMTH 34-66,RSI Stochs < 20",Trade B,-1453.72,-0.06,1700,46.48,1700,45.64,01/04/2024,01/04/2024,01/05/2024,01/05/2024,1,1,1,FALSE,FALSE,FALSE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Yellow,Red,TRUE,3,FALSE,3,FALSE
G001330,SHOT,IB,Reset,,"LABAN,Probe,daily,2.5k,MMTW 67-100,MMTH 34-66,RSI Stochs < 20",Trade A,-1866.87,-0.08,3000,3.52,3000,2.91,01/04/2024,01/04/2024,01/08/2024,01/08/2024,1,1,2,FALSE,FALSE,FALSE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Yellow,Yellow,FALSE,3,FALSE,3,FALSE
G001331,SPOT,IB,Range,50-day,"ODL,TODL,daily,5k,tighten,MMTW 67-100,MMTH 34-66,RSI Stochs < 20",Trade B,-1754.84,-0.07,570,190.53,570,187.46,01/04/2024,01/04/2024,01/04/2024,01/04/2024,1,1,0,FALSE,FALSE,FALSE,long,low,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Yellow,Yellow,FALSE,3,FALSE,3,FALSE
G001332,QCOM,IB,Range,50-day,"ODL,daily,5k,tighten,MMTW 67-100,MMTH 34-66,RSI Stochs < 20",Trade B,300.98,0.01,1250,137.4,1250,137.65,01/05/2024,01/05/2024,01/10/2024,01/11/2024,1,2,4,FALSE,TRUE,TRUE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Red,Green,TRUE,3,FALSE,3,FALSE
G001333,TWST,IB,Range,,"ODL,daily,5k,tighten,MMTW 67-100,MMTH 34-66,RSI Stochs < 20",Trade B,2528.62,0.1,1900,33.95,1900,35.29,01/05/2024,01/05/2024,01/09/2024,01/16/2024,1,2,7,FALSE,TRUE,TRUE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Red,Unknown,TRUE,3,FALSE,3,FALSE
G001334,GLD,IB,Others,,"Channel,20EMA Support (R)",Trade B,-8.83,0,529,189.86,529,189.86,01/05/2024,01/05/2024,01/05/2024,01/05/2024,1,1,0,FALSE,FALSE,FALSE,long,low,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Red,Red,FALSE,3,FALSE,3,FALSE
G001335,TSLA,IB,Momentum,Slingshot,Short,Trade A,-376.21,-0.02,100,239.87,100,236.13,01/05/2024,01/05/2024,01/05/2024,01/05/2024,1,1,0,FALSE,FALSE,FALSE,short,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Red,Red,FALSE,3,FALSE,3,FALSE
G001336,ABNB,IB,Range,50-day,"ODL,daily,5k",Trade B,599.42,0.02,940,137.74,940,138.39,01/08/2024,01/08/2024,01/10/2024,01/11/2024,1,2,3,FALSE,TRUE,TRUE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Yellow,Green,TRUE,3,FALSE,3,FALSE
G001337,AMD,IB,Range,Falling-Pennant,20EMA Support (R),Trade B,692.83,0.03,143,141.23,143,146.24,01/08/2024,01/08/2024,01/09/2024,01/11/2024,1,4,3,FALSE,TRUE,TRUE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Yellow,Green,TRUE,3,FALSE,3,FALSE
G001338,DDOG,IB,Range,50-day,,Trade B,292.24,0.01,95,117.2,95,120.24,01/08/2024,01/08/2024,01/10/2024,01/11/2024,1,2,3,FALSE,TRUE,TRUE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Yellow,Green,TRUE,3,FALSE,3,FALSE
G001339,NU,IB,Reset,,"MMTW cross down,MMTH>60,MMTW 40-60",Trade A,347.71,0.01,1440,8.64,1440,8.9,01/08/2024,01/08/2024,01/30/2024,01/30/2024,1,2,16,FALSE,FALSE,TRUE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Yellow,Green,TRUE,3,FALSE,8,TRUE
G001340,NVDA,IB,Reset,,"MMTW cross down,MMTH>60,MMTW 40-60",Trade A,2236.67,0.09,26,500.78,26,586.89,01/08/2024,01/08/2024,01/16/2024,01/31/2024,1,2,17,FALSE,TRUE,TRUE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Yellow,Green,TRUE,3,FALSE,8,TRUE
G001341,ABNB,IB,Range,,Compass 2,Trade E,-191.19,-0.01,120,137.3,120,135.73,01/08/2024,01/08/2024,01/16/2024,01/16/2024,1,2,6,FALSE,FALSE,FALSE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Yellow,Unknown,TRUE,3,FALSE,3,FALSE
G001342,IOT,IB,Range,50-day,"daily,5k,RSI Stochs < 20,macd",Trade B,2371.64,0.1,1800,31.05,1800,32.38,01/08/2024,01/08/2024,01/10/2024,01/11/2024,1,2,3,FALSE,TRUE,TRUE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Yellow,Green,TRUE,3,FALSE,3,FALSE
G001343,ADBE,IB,Range,Below 50,"LABAN,daily,2.5k",Trade B,2710.33,0.11,180,570.03,180,585.11,01/08/2024,01/08/2024,01/09/2024,01/11/2024,1,2,3,FALSE,TRUE,TRUE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Yellow,Green,TRUE,3,FALSE,3,FALSE
G001344,PATH,IB,Range,50-day,"ODL,daily,5k",Trade B,-1220.57,-0.05,7200,22.65,7200,22.79,01/08/2024,01/11/2024,01/11/2024,01/11/2024,2,3,3,TRUE,FALSE,FALSE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Yellow,Green,TRUE,3,FALSE,3,FALSE
G001345,PLTR,IB,Range,Below 50,"ODL,daily,5k,RSI Stochs < 20",Trade B,262.38,0.01,5600,16.22,5600,16.28,01/08/2024,01/08/2024,01/10/2024,01/17/2024,1,2,7,FALSE,TRUE,TRUE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Yellow,Green,TRUE,3,FALSE,3,FALSE
G001346,CELH,IB,Coil,Flat,"ODL,daily,7.5k",Trade A,-1610.19,-0.07,740,59.75,740,57.58,01/09/2024,01/09/2024,01/11/2024,01/11/2024,1,1,2,FALSE,FALSE,FALSE,long,high,,Team_GHP.xlsx,2023-01-01 - 2026-03-17,Green,Green,FALSE,3,FALSE,3,FALSE
