time,open,high,low,close,EMA,EMA,EMA,EMA,Plot,Plot,Plot,Shapes,Shapes
1689146100,14.82,14.82,13.51,13.53,19.275942967214,15.376590450304489,14.335893607478292,14.289591867940258,92,,,1,0
1689232500,13.44,13.61,13.12,13.58,19.219266917788985,15.306135922841568,14.263903740099407,14.160575164678393,98,,,1,0
1689318900,13.72,13.76,13.22,13.33,19.160667246965215,15.228640396455624,14.174960526756607,14.00956149837323,51,,,0,0
1689578100,13.78,14,13.43,13.5,19.10434219973173,15.160850576986777,14.110678571827407,13.916913953214461,103,,,1,0
1689664500,13.61,13.67,13.29,13.31,19.046687053465742,15.088268201418668,14.034423469748607,13.806565961720922,114,,,1,0
1689750900,13.32,13.84,13.12,13.75,18.993983699699914,15.03578709548068,14.00733552024874,13.796281241408028,115,,,1,0
1689837300,13.96,14.23,13.58,13.98,18.944093314628272,14.994383679971634,14.004732137367908,13.829684652061115,40,,,0,0
1689923700,13.87,13.89,13.37,13.59,18.890818754283714,14.939309810168824,13.965233838570965,13.78610562441364,51,,,0,0
1690182900,14.29,14.3,13.73,13.9,18.841158866181388,14.898552562711224,13.959021092040397,13.80681369270207,13,,,0,0
1690269300,14.02,14.09,13.82,13.85,18.791495593881077,14.857432854369607,13.948638130893691,13.81466574857442,22,,,0,0
1690355700,13.86,14.16,13.15,13.18,18.735659816827535,14.791651173806093,13.875434499380006,13.699271976106344,24,,,0,0
1690442100,13.14,15.02,12.74,14.4,18.69251892312776,14.77629230424507,13.925393118486673,13.826677071359736,43,,,0,0
1690528500,14.03,14.18,13.27,13.34,18.63926002837027,14.719967115843302,13.869641392916513,13.738190331112511,35,,,0,0
1690787700,13.98,14.09,13.57,13.62,18.58931714251584,14.676831150516113,13.845866022162559,13.716701180001145,55,,,0,0
1690874100,13.75,14.3,13.75,13.94,18.54305528040125,14.647935811280187,13.854831162908981,13.757300965455482,39,,,0,0
1690960500,15.7,16.48,14.95,16.1,18.518746272636065,14.704879504955473,14.068656766441459,14.183246244463577,-10,,,0,0
1691046900,16.77,17.42,15.72,15.93,18.4929876032566,14.752923445937611,14.245927550589892,14.50083783637929,5,,,0,0
1691133300,16.01,17.39,14.57,17.09,18.479027527602305,14.844573506881234,14.516791593390854,14.971594593401237,10,,,0,0
1691392500,16.9,17.36,15.77,15.77,18.452072029815216,14.8808647419055,14.636144774972678,15.11675921278283,-14,,,0,1
1691478900,16.28,18.14,15.96,15.98,18.427474298175262,14.923968085360185,14.764130986880042,15.273712083185952,-41,,,0,1
1691565300,15.81,16.87,15.38,15.95,18.40282281262128,14.964204631032334,14.877070892891467,15.396673522606688,-16,,,0,1
1691651700,15.58,16.86,14.6,15.84,18.377322088117587,14.998549547462439,14.968778426901803,15.4772783366782,-17,,,0,1
1691738100,15.53,16.51,14.84,14.86,18.342323858385075,14.993116231875677,14.958418576720678,15.365045911827618,-25,,,0,1
1691997300,15.88,16.06,14.77,14.81,18.307176357306616,14.98593520317467,14.944283474175851,15.264128473313505,-27,,,0,1
1692083700,14.95,16.57,14.91,16.45,18.288696990567246,15.043349508932526,15.087685048063864,15.479741478165595,-36,,,0,1
1692170100,16.54,16.93,15.8,16.77,18.27358557772578,15.111061292895956,15.247905519676829,15.71433393668094,-72,,,0,1
1692256500,16.96,18.13,16.4,17.9,18.26986830829567,15.220431438272584,15.500485946374274,16.111727766375314,-91,,,0,1
1692342900,17.8,18.88,17.14,17.29,18.26011837487979,15.301590989712874,15.670915856243392,16.325959081579803,-74,,,0,1
1692602100,18.03,18.11,16.88,17.14,18.248972918413326,15.373685460704527,15.810828631839259,16.473966521292567,-51,,,0,1
1692688500,16.96,17.58,16.61,16.98,18.23634632221021,15.436678187735723,15.922178285949807,16.56597260833028,-50,,,0,1
1692774900,16.64,17.1,15.91,15.97,18.213795612536476,15.457592768608832,15.926732734906969,16.45761395227023,-21,,,0,1
1692861300,15.57,17.32,15.48,17.21,18.203807596491338,15.52631462082025,16.04894866491583,16.594411415493823,-56,,,0,1
1692947700,17.21,17.36,15.45,15.67,18.17859558060585,15.531949341572396,16.012858315876226,16.426336612676764,-65,,,0,1
1693206900,16.24,16.28,15,15.08,18.1477637837839,15.514225837981321,15.924014666745157,16.181548137644626,-3,,,0,0
1693293300,15.08,15.3,14.34,14.46,18.111069616781077,15.472883648256564,15.784584698483712,15.868539385345603,10,,,0,0
1693379700,14.53,14.7,13.83,13.87,18.06886991910166,15.410025465971993,15.602243298628121,15.505168588010038,22,,,0,0
1693466100,13.98,14,13.44,13.56,18.024005541797166,15.337475447698582,15.407743936854015,15.151501572008213,15,,,0,0
1693552500,13.56,13.56,13.02,13.08,17.974811456804158,15.248946998769226,15.186054038106013,14.774864922552174,26,,,0,0
1693811700,13.62,13.82,13.51,13.82,17.93347004927377,15.192909861562589,15.055953653524488,14.60125311845178,26,,,0,0
1693898100,14.15,14.47,13.7,14,17.894331043808357,15.146129082677781,14.955386638903109,14.491934369642365,-39,,,0,1
1693984500,14.27,15.3,14.13,14.44,17.859959590636134,15.118437746102183,14.906302197102812,14.482491756980117,-54,,,0,1
1694070900,14.81,15.69,14.4,14.4,17.82553213202284,15.090263716843273,14.858082940235878,14.467493255711005,-100,,,0,1
1694157300,14.22,14.87,13.58,13.83,17.785775593395748,15.040841610300399,14.760170279261033,14.351585391036277,-72,,,0,1
1694416500,14.17,14.33,13.74,13.81,17.746215637242557,14.992573311857246,14.669677871712363,14.253115319938772,-43,,,0,1
1694502900,14.02,14.42,13.71,14.24,17.71132791945905,14.963060632960884,14.628756169644518,14.25073071631354,-39,,,0,1
1694589300,14.42,14.68,13.41,13.47,17.669125651603736,14.904509235589869,14.518398439202183,14.108779676983806,-70,,,0,1
1694675700,13.39,13.46,12.79,12.81,17.620776142632554,14.822371618507914,14.355693825944833,13.872637917532206,-40,,,0,1
1694762100,12.7,14.17,12.68,13.8,17.582758469571534,14.782278613860544,14.302770604426277,13.859431023435441,-59,,,0,1
1695021300,14.4,14.75,13.86,14.01,17.54720863405341,14.751993178022875,14.274887689719012,13.886807200992633,-84,,,0,1
1695107700,14.11,14.88,13.86,14.12,17.513107055605115,14.7272091318259,14.260136481174344,13.929205891721246,-91,,,0,1
1695194100,14.18,15.15,13.57,15.13,17.489394547589143,14.743004852146452,14.342980625824406,14.147532093226474,-80,,,0,1
1695280500,15.49,17.54,15.1,17.54,17.48989808442905,14.852690936376003,14.647458661460178,14.76434443991257,-170,,,0,1
1695366900,17.31,17.41,15.93,17.19,17.48691402388747,14.944350115341651,14.889605455606828,15.20537272356483,-135,,,0,1
1695626100,17.25,18.41,16.79,16.89,17.480974580863712,15.02065011081845,15.080119221739512,15.511668592007588,-154,,,0,1
1695712500,18.03,19.5,17.17,18.93,17.495392744238202,15.173957949609882,15.446774533954796,16.133183393460754,-145,,,0,1
1695798900,18.29,19.71,18.03,18.21,17.502503264196033,15.2930184221742,15.70993886405434,16.510786412831525,-113,,,0,1
1695885300,18.22,18.77,17.06,17.34,17.500886316293585,15.373292209539917,15.865182781763451,16.661552519589428,-109,,,0,1
1695971700,16.87,17.74,15.83,17.51,17.50097699971355,15.4570846719109,16.021832040643122,16.815815697845895,-48,,,0,1
1696230900,17.31,18.55,16.93,17.6,17.501962303198987,15.541120567130081,16.172133751058063,16.958394661873914,-162,,,0,1
1696317300,17.81,20.48,17.52,19.78,17.5246293449582,15.70735113312498,16.515740060481104,17.471413814260476,-227,,,0,1
1696403700,20.72,20.88,18.3,18.57,17.535031043018318,15.819611873002431,16.71138386424481,17.67115675712221,-192,,,0,1
1696490100,18.67,19.58,18.26,18.48,17.54443371920719,15.9239408191592,16.879823496221494,17.81821916491817,-131,,,0,1
1696576500,18.73,19.93,17.19,17.44,17.54339457772254,15.983394120368642,16.933173639438493,17.749452044023958,-115,,,0,1
1696835700,19.54,19.6,17.56,17.69,17.544853338143213,16.0503198411385,17.00525234044435,17.738642581474146,-104,,,0,1
1696922100,17.7,17.86,16.51,17.02,17.539630916868155,16.088346514035027,17.00665687944965,17.60798029393339,-26,,,0,1
1697008500,16.95,17.78,16.09,16.1,17.525306231128173,16.088803513484635,16.920308605216352,17.333802058672774,-55,,,0,1
1697094900,16.08,18.08,15.44,16.7,17.51709422882839,16.112772003151903,16.899326833290985,17.21856532073227,-145,,,0,1
1697181300,16.53,20.78,16.5,19.31,17.534934087248008,16.238153493224377,17.128914753929937,17.59882617150822,-159,,,0,1
1697440500,19.1,19.57,17.14,17.2,17.531601409762953,16.275872964078324,17.13568477736518,17.52631232214309,-64,,,0,1
1697526900,17.41,18.54,16.97,17.89,17.53516756488969,16.339172063526235,17.20752432237802,17.59243735448071,-30,,,0,1
1697613300,18.36,20.15,17.88,19.21,17.551832564244023,16.45175355123109,17.398236291675353,17.886539653666038,-116,,,0,1
1697699700,19.73,21.4,18.55,21.4,17.590122787485377,16.645802431574968,17.77935664484913,18.52535062572676,-177,,,0,1
1697786100,21.59,21.83,20.42,21.7,17.631017088107413,16.844006257787715,18.152751250101595,19.10255960286735,-220,,,0,1
1698045300,21.83,23.08,19.48,20.36,17.658171146932215,16.981888365325453,18.362965416758584,19.33118512961874,-257,,,0,1
1698131700,20.03,20.24,18.65,18.96,17.671124667858262,17.059461370606808,18.419825853257766,19.263696924233514,-149,,,0,1
1698218100,19.39,21.24,18.86,20.18,17.696088601511413,17.18183543450458,18.587461486280837,19.430297483463786,-253,,,0,1
1698304500,21.78,21.96,20.22,20.67,17.72567975970533,17.318626201778912,18.785798487587424,19.655697941015823,-191,,,0,1
1698390900,20.39,22.07,19.72,21.26,17.7608471252804,17.473189880140524,19.021436726864813,19.947389224467493,-239,,,0,1
1698650100,21.13,21.16,19.55,19.74,17.780540188710447,17.562084394644817,19.08987132430626,19.90968209274613,-186,,,0,1
1698736500,19.86,19.86,17.97,18.13,17.78401740076308,17.584355594854824,18.99845500770566,19.58610353042865,-97,,,0,1
1698822900,18.02,18.42,16.63,16.86,17.774823197770413,17.55594949309581,18.794792626019408,19.090448343077988,-120,,,0,1
1698909300,16.59,16.62,15.58,15.65,17.753680678389614,17.481206375719502,18.49528856639851,18.464912280700172,-40,,,0,1
1698995700,15.7,15.83,14.91,14.91,17.725385348256385,17.380374753142267,18.153832512455796,17.81856459330014,19,,,0,0
1699258500,15.39,15.58,14.84,14.9,17.69727206120906,17.283105154979825,17.843943701745722,17.287916485427388,2,,,0,0
1699344900,15.1,15.17,14.71,14.8,17.668443483485586,17.18572848223552,17.554044301579463,16.835568033531498,-6,,,0,0
1699431300,14.91,15.09,14.3,14.44,17.63631966772951,17.078052855481186,17.25746865380999,16.400010209253043,-48,,,0,1
1699517700,14.61,15.57,14.13,15.28,17.61287370088643,17.00754097879565,17.069138305828087,16.196371989388854,-84,,,0,1
1699604100,15.09,15.45,14.16,14.18,17.578715753613928,16.89665701884288,16.793982276701602,15.829758900409063,-80,,,0,1
1699863300,15.16,15.19,14.58,14.77,17.55076833317996,16.813258704378455,16.601222059872878,15.637075463971051,-30,,,0,1
1699949700,14.83,14.86,13.91,14.15,17.51692984230255,16.708817186559692,16.367772339884986,15.366698106885405,72,,,0,0
1700036100,14.21,14.35,13.97,14.17,17.483627057802025,16.609255728263232,16.15846068846737,15.14911663290624,77,,,0,0
1700122500,14.12,14.42,13.68,14.33,17.45224768409255,16.519873150684283,15.98432157528,15.000186336014197,-4,,,0,0
1700208900,14.18,14.19,13.67,13.81,17.41600641360407,16.413603615363332,15.777243330015237,14.783788820375252,27,,,0,0
1700468100,14.26,14.31,13.39,13.42,17.376245155757264,16.296207395153004,15.552743965251882,14.535827216670661,49,,,0,0
1700554500,13.45,14.31,13.13,13.34,17.336083512416394,16.180277693382298,15.342006444751702,14.318404086366904,16,,,0,0
1700640900,13.08,13.25,12.82,12.86,17.29154536801424,16.050070725014365,15.105624878584873,14.053239707027467,49,,,0,0
1700727300,12.84,12.87,12.75,12.79,17.246753871815095,15.922224814229487,14.885089175862504,13.8235597602952,49,,,0,0
1700813700,13.03,13.17,12.45,12.45,17.19902497756818,15.786059135240096,14.653175921018455,13.57382162205971,49,,,0,0
1701072900,13.14,13.28,12.64,12.68,17.15405955490581,15.664252894642445,14.465254404730983,13.411308599867034,48,,,0,0
1701159300,12.78,14.3,12.56,12.7,17.109740554359483,15.548007683087839,14.297134937613746,13.281979763527573,14,,,0,0
1701245700,12.71,13.1,12.48,12.99,17.068748111032523,15.44769365630008,14.172645895936247,13.228892533795287,42,,,0,0
1701332100,13.07,13.39,12.82,12.91,17.027367532813294,15.348176258013803,14.052393905847081,13.170912073105235,29,,,0,0
1701418500,12.94,12.96,12.48,12.62,16.98351312950172,15.241188953777968,13.91597543862355,13.070746241631555,69,,,0,0
1701677700,13.28,13.7,12.98,13.09,16.94477170532757,15.156828602649421,13.837311111135593,13.074246924971273,102,,,1,0
1701764100,13.26,13.76,12.81,12.86,16.9041272107472,15.066756892741601,13.744233862456012,13.03529293861286,62,,,0,0
1701850500,12.78,13.03,12.64,12.96,16.864882163874093,14.984138975379185,13.669544923174486,13.021603313410523,66,,,0,0
1701936900,13.17,13.28,12.95,13.07,16.827122142343008,14.909074701834903,13.612445406681678,13.030402710972247,47,,,0,0
1702023300,13.14,13.24,12.35,12.35,16.782573663314718,14.808718831174712,13.492212510807231,12.90669312715911,68,,,0,0
1702282500,13.05,13.14,12.61,12.64,16.741354024873775,14.723671033873742,13.411049414539876,12.858203467675636,78,,,1,0
1702368900,12.69,12.74,11.81,12.08,16.69497239278548,14.61999765999634,13.284282803631317,12.716711928098247,72,,,1,0
1702455300,12.2,12.46,11.82,12.18,16.650047294349804,14.524311477251386,13.179113012809287,12.619127941171293,136,,,1,0
1702541700,11.96,12.74,11.84,12.47,16.608454783958262,14.44375024284937,13.111578440160784,12.59201377004924,212,,,1,0
1702628100,12.12,12.54,12.01,12.27,16.56528607964027,14.35850513528665,13.031428112526424,12.53346581185847,120,,,1,0
1702887300,12.62,12.64,12.4,12.57,16.52553198929559,14.288367679000899,12.987482578000098,12.540108391520567,86,,,1,0
1702973700,12.6,12.6,12.33,12.52,16.485675949601106,14.219019926883217,12.942960427714373,12.536452320335009,146,,,1,0
1703060100,12.63,13.93,12.29,13.66,16.45755977099811,14.197097576809366,13.011249910789195,12.740733716637735,169,,,1,0
1703146500,13.4,14.49,13.34,13.66,16.42972335536629,14.17603492673841,13.073035633571177,12.90787304088542,53,,,0,0
1703232900,13.72,13.96,13,13.04,16.39599476476563,14.13148453745455,13.069889382754875,12.931896124360797,147,,,1,0
1703578500,13.77,13.8,12.96,12.98,16.36200476710627,14.086328281083784,13.061328489159173,12.940642283567925,190,,,1,0
1703664900,13.02,13.04,12.37,12.42,16.322780839075364,14.02098207398246,13.000249585429728,12.845980050191939,199,,,1,0
1703751300,12.44,12.65,12.38,12.48,16.284544213810932,13.96055140441452,12.950702005864992,12.779438222884313,124,,,1,0
1703837700,12.55,13.19,12.36,12.44,16.246290042529232,13.900921937574735,12.902063719592135,12.717722182359893,61,,,0,0
1704183300,13.22,14.23,13.1,13.21,16.216078201310037,13.873826959630627,12.931390984392884,12.80722724011264,53,,,0,0
1704269700,13.35,14.22,13.33,14.03,16.194326179406453,13.879951392586289,13.036020414450704,13.02954956009216,22,,,0,0
1704356100,13.93,14.2,13.64,14.14,16.173885122894944,13.890149377190749,13.14116132736016,13.231449640075404,40,,,0,0
1704442500,14.24,14.58,13.29,13.34,16.145687260975592,13.86857489181072,13.16009834380205,13.251186069152602,17,,,0,0
1704701700,14,14.18,13.02,13.07,16.11508340763255,13.837258229386771,13.151517549154235,13.218243147488494,43,,,0,0
1704788100,13.2,13.45,12.74,12.77,16.081798995616307,13.79540496548925,13.11518254447288,13.136744393399676,30,,,0,0
